Date,Odometer_Pre,Odometer_Post,Total_Litres,Price_per_Litre,Total_Fuel_Cost,Full_Depot,Drive_Mode,Gas_Station,Total_Driven_KM,Used_Fuel_L,Fuel_in_Tank_Pre,Fuel_in_Tank_Post,Calc_L_per_100KM,Calc_Cost_per_KM
2025-04-16,13,170,19.58,2.05,40.14,false,,,157,19.58,,,12.47,0.256
2025-04-28,170,584,41.46,2.05,85.00,true,Eco,Pearl,414,41.03,,,9.91,0.205
2025-05-12,584,963,41.03,1.95,80.01,true,Normal,Pearl,379,41.04,47,,10.83,0.211
2025-05-31,963,1364,41.04,1.95,80.03,true,Normal,Pearl,401,40.86,47,,10.19,0.200
2025-07-06,1364,1773,40.86,2.00,81.72,true,Normal,Onaiza,409,42.57,47,,10.41,0.200
2025-07-20,1773,2130,42.57,2.00,85.14,true,Sport,Pearl,357,41.01,47,,11.49,0.238
2025-09-10,2130,2503,41.01,2.00,82.02,true,Sport,Pearl,373,42.94,47,,11.51,0.220
2025-10-11,2503,2922,42.94,2.05,88.03,true,Normal,Pearl,419,41.95,47,,10.01,0.210
2025-10-27,2922,3334,41.95,2.05,86.00,true,Normal,Pearl,412,44.50,47,,10.80,0.209
2025-11-19,3334,3762,44.50,2.00,89.00,true,Eco,Pearl,428,42.93,47,,10.03,0.208
2025-12-06,3762,,42.93,2.05,88.01,true,Eco,Wadi Al Banat,,,47,,,
